Name,Category,Public ID,Weight,Price,Fat,Protein,Carbs,KCal
Энергетический напиток Adrenaline Rush,Discounts and promos,318024ef-fb6e-41b5-a4c2-a9dddf87f7ba,449 ml,135,0,0.5,12.5,54
"Сыр плавленый Hochland Чизбургер 45%, ломтики, 150 г",Discounts and promos,ea0e3f7b-18af-4df9-a512-cc250a543917,150 g,125,23.3,14.6,4.3,283
"Сыр плавленый Hochland Сэндвич 45%, ломтики, 150 г",Discounts and promos,6d0e1441-66e9-4012-824f-960a56ec2e60,150 g,140,23,14.5,4.1,284
"Молоко пастеризованное Домик в деревне 3.7% 1,4л",Discounts and promos,7bc9950f-edac-473a-b591-07f122eecdff,1.4 l,135,4.5,2.9,4.7,71
"Сыр плавленый Hochland сливочный 55%, 400 г",Discounts and promos,d945a3d2-b380-415b-ad73-9195e423d315,400 g,280,25.8,9.8,4.8,291
Газированный напиток Биттер Лемон Эвервесс/Evervess 1л,Discounts and promos,7a781d5d-3ee3-4951-875b-71193d7a2298,1 l,96,0,0,11.7,45
Томаты сливовидные Фламенко на ветке весовые,Discounts and promos,c4946da8-f790-408e-9d2b-33a0abcd0795,400 g,156,0.2,1.1,3.8,24
Огурцы фасованные Маркет Fresh,Discounts and promos,9e297ac6-9258-450a-9929-eca5ef5f4057,450 g,150,0.1,0.7,3.6,16
"Томаты черри на ветке Маркет Collection, 250 г",Discounts and promos,b812fcca-7bdf-4443-95f7-033820417d11,250 g,190,0,0,0,15
Яблоки сезонные,Discounts and promos,03b16f0a-cd08-429e-b86c-3b560d372353,500 g,65,0.4,0.4,9.8,47
Кабачки,Discounts and promos,393c8b4b-f752-43f3-b2f4-419dfcb5f411,650 g,117,0.3,0.6,4.6,24
"Салат Айсберг Маркет Fresh, 1шт.",Discounts and promos,3b4dfd83-9eeb-40c0-8b5c-80fe7abb0c4a,250 g,120,0.2,1.5,2.3,17
Напиток Добрый Cola,Discounts and promos,dab19c2f-2f11-40e3-a424-5a25878b0911,1.5 l,160,0,0,10.6,42
Шампиньоны Маркет Fresh,Discounts and promos,2c5a1095-7366-4a46-9ffd-1f2c2083458f,400 g,160,1,4.3,0.1,27
Баклажаны вес,Discounts and promos,41bc8bf6-17de-4937-a986-fdc9d43705ba,350 g,80,0.1,1.2,4.5,24
Томаты Бакинские,Discounts and promos,0ecb3bf2-73fd-415c-bd2d-a345b1754422,400 g,140,0.2,0.9,3.9,18
Лёд фруктовый Бон Пари Взрывной ураган с взрывной карамелью,Discounts and promos,3c95823b-7590-465a-ad0d-59499c77ab99,60 g,70,2.4,0.06,22.4,114
"Напиток Добрый Кола без сахара сильногазированный, 1.5 л",Discounts and promos,d593a090-a318-4079-bf86-df7968c70686,1.5 l,160,0,0,0,0.3
"Гречка Увелка Экстра, 5х80г",Discounts and promos,b188ecac-7b77-485d-9f9c-444adcca2378,400 g,110,2,13,72,360
"Салат Выгодно Айсберг свежий, 200г",Discounts and promos,8ec5fcb4-cdba-49c1-a22f-c5a9c6258dc0,200 g,110,13,3,5,165
Питахайя крупная,Discounts and promos,94216f22-e897-4a87-bca5-a98f79b30bc6,500 g,210,0.3,0.5,12,50
Персики,Discounts and promos,ac942f22-801f-4e57-9310-55aa887cfe0f,400 g,80,0.3,0.9,10,39
Холодный чай Lipton Зеленый чай,Discounts and promos,5302b93a-84b0-43fd-91cf-12a41fac74f5,1.5 l,185,0,0,6.9,30
"Сыр полутвердый Классический 45%, Брест-Литовск",Discounts and promos,2d7b4d5b-7606-4e3e-987c-0339925632be,200 g,230,26.1,26.3,0,340
Йогурт TEOS Савушкин продукт греческий 2% натуральный,Discounts and promos,d82bd744-b0c4-40d1-96be-12365c7985ca,140 g,46,2,8,4.2,66.8
Креветки Проморе королевские 50/70 замороженные,Discounts and promos,07bf2a0b-9d4a-4846-b762-f91453ebb78e,200 g,144,0.4,22.1,0.1,92
Капуста Брокколи весовая,Discounts and promos,c844904e-e410-476b-9dad-a3080008c2be,370 g,152,0,2.7,4.5,30
Сок Сады Придонья Яблоко-Виноград,Discounts and promos,e8fefb16-0fcf-4038-9ce3-0e410c593367,1 l,120,0,0,12,46
