Name,Category,Public ID,Weight,Price,Fat,Protein,Carbs,KCal
Кофе Monarch Original натуральный растворимый сублимированный,Discounts and promos,263d6958-a0b2-4bed-93ea-8ca23e39c501,210 g,589,0.52,14.6,10.3,101
Молоко стерилизованное Домик в деревне 3.2% 950г,Discounts and promos,155f254b-d931-4f40-bac7-f7576217bbd3,950 ml,112,3.2,2.9,4.7,60
Кофе Monarch Original натуральный растворимый сублимированный,Discounts and promos,1c9c1c71-bf7a-4fc5-a5b1-3bd527361b33,95 g,582,0.52,14.6,10.3,101
Кофе Monarch Original натуральный растворимый сублимированный,Discounts and promos,e9ed2ca3-e124-4616-8f1d-c73944a838c9,95 g,328,0.52,14.6,10.3,101
Набор зелени Global Village лук зеленый + петрушка + укроп,Discounts and promos,9103c69c-255b-41ef-bacc-57c13c515fbc,70 g,82,2.5,2.5,5.3,34
Яблоко сезонное,Discounts and promos,65991620-a2dc-4846-b3b3-39c9c4441c0d,500 g,63,0.4,0.4,0.9,47
Апельсины,Discounts and promos,3fe3aab3-bd7d-4a4c-a1b5-9dc85b3d4377,800 g,98,0.2,0.9,8,36
Томаты Черри на ветке,Discounts and promos,8e3abfa1-b89a-4c1b-bf06-a152a72a9f38,250 g,146,0.1,0.8,2.8,15
Яблоки Гренни Смит,Discounts and promos,72fe49b0-5f8a-46b9-afaa-47e6012bdab8,500 g,82,0.4,0.4,9.7,48
Нектарины вес,Discounts and promos,be08bb9d-d4ae-4162-9778-45dd5358483b,300 g,92,0.3,1.1,8.9,44
Виноград белый,Discounts and promos,3fece1df-c853-425a-ab92-cf4047386c8d,500 g,157,0.2,0.7,16.8,69
"Twix Xtra шоколадный батончик с карамелью и печеньем, 82 г",Discounts and promos,de978c21-1377-4233-87a9-74cd5499571f,82 g,73,24,4.4,64.4,494
Сметана Простоквашино 20%,Discounts and promos,3d9d295d-70e8-488a-9404-4a21da52039c,300 g,108,20,2.5,3.4,204
"Яблоки Голден, вес",Discounts and promos,9c126de9-8ef6-4860-a07c-8c6d69ea14d1,500 g,76,0.2,0.4,9.8,47
Квас Очаковский двойного брожения 2 л,Discounts and promos,6c9eaa2c-06f0-4896-b3ee-f93f9816e0fa,2 l,122,0,0,6.5,35
Макароны Makfa Витки,Discounts and promos,d857a2d2-4414-4ff2-9265-645d77a41201,450 g,64,1.3,12,70.5,342
Кетчуп Heinz Томатный,Discounts and promos,101de7b5-8020-4ed6-af6e-928b2c91a2f2,320 g,157,0.1,1,25,110
Батончик вафельный Обыкновенное чудо сливочное,Discounts and promos,bc35d024-cc0d-4491-916d-71bf599ee02c,55 g,42,16.4,2.8,31.6,281
Конфеты Рот Фронт батончики вес,Discounts and promos,aca925bf-8ba5-47d3-85ef-34609610c6c4,200 g,156,29,11,53,514
Макароны Makfa Улитки,Discounts and promos,c84b3842-8759-442a-9a26-08c8a230e1b4,450 g,64,1.3,12,70.5,342
Сметана Домик в деревне 15% 300г,Discounts and promos,bfe14d01-756c-4be8-8fbe-67085385acc3,300 g,90,15,2.6,3.6,160
